,"('BTC', 'BTC')","('ETH', 'ETH')","('BNB', 'BNB')","('XRP', 'XRP')","('SOL', 'SOL')","('DOGE', 'DOGE')","('ADA', 'ADA')","('AVAX', 'AVAX')","('TRX', 'TRX')","('DOT', 'DOT')","('MATIC', 'MATIC')","('LINK', 'LINK')","('NEAR', 'NEAR')","('OP', 'OP')","('ARB', 'ARB')","('APT', 'APT')","('STX', 'STX')","('ICP', 'ICP')"
2015-03-27,247.0290069580078,,,,,,,,,,,,,,,,,
2015-03-28,252.79800415039065,,,,,,,,,,,,,,,,,
2015-03-29,242.71299743652344,,,,,,,,,,,,,,,,,
2015-03-30,247.5260009765625,,,,,,,,,,,,,,,,,
2015-03-31,244.2239990234375,,,,,,,,,,,,,,,,,
2015-04-01,247.27200317382812,,,,,,,,,,,,,,,,,
2015-04-02,253.0050048828125,,,,,,,,,,,,,,,,,
2015-04-03,254.3220062255859,,,,,,,,,,,,,,,,,
2015-04-04,253.6970062255859,,,,,,,,,,,,,,,,,
2015-04-05,260.5979919433594,,,,,,,,,,,,,,,,,
2015-04-06,255.49200439453125,,,,,,,,,,,,,,,,,
2015-04-07,253.17999267578125,,,,,,,,,,,,,,,,,
2015-04-08,245.02200317382812,,,,,,,,,,,,,,,,,
2015-04-09,243.67599487304688,,,,,,,,,,,,,,,,,
2015-04-10,236.0720062255859,,,,,,,,,,,,,,,,,
2015-04-11,236.552001953125,,,,,,,,,,,,,,,,,
2015-04-12,236.1529998779297,,,,,,,,,,,,,,,,,
2015-04-13,224.5870056152344,,,,,,,,,,,,,,,,,
2015-04-14,219.15899658203125,,,,,,,,,,,,,,,,,
2015-04-15,223.83299255371097,,,,,,,,,,,,,,,,,
2015-04-16,228.572998046875,,,,,,,,,,,,,,,,,
2015-04-17,222.8820037841797,,,,,,,,,,,,,,,,,
2015-04-18,223.3560028076172,,,,,,,,,,,,,,,,,
2015-04-19,222.6000061035156,,,,,,,,,,,,,,,,,
2015-04-20,224.62600708007812,,,,,,,,,,,,,,,,,
2015-04-21,235.2689971923828,,,,,,,,,,,,,,,,,
2015-04-22,234.17599487304688,,,,,,,,,,,,,,,,,
2015-04-23,236.4620056152344,,,,,,,,,,,,,,,,,
2015-04-24,231.26800537109375,,,,,,,,,,,,,,,,,
2015-04-25,226.38999938964844,,,,,,,,,,,,,,,,,
2015-04-26,219.42999267578125,,,,,,,,,,,,,,,,,
2015-04-27,229.28599548339844,,,,,,,,,,,,,,,,,
2015-04-28,225.85499572753903,,,,,,,,,,,,,,,,,
2015-04-29,225.80799865722656,,,,,,,,,,,,,,,,,
